sentence_id,gold_label,prediction,word_index,word,negative_shap_value,positive_shap_value,margin_shap_value
S1,POS,POS,0,the,0.007047984749078751,0.004015000537037849,-0.003032984212040901
S1,POS,POS,1,film,0.0410059429705143,-0.026907486375421286,-0.06791342934593558
S1,POS,POS,2,is,-0.04450937733054161,0.05079902848228812,0.09530840581282973
S1,POS,POS,3,a,-0.08010681966940561,0.10348764124015968,0.18359446090956527
S1,POS,POS,4,beautiful,-1.0845524395505588,1.029356115187208,2.1139085547377667
S1,POS,POS,5,and,-0.12732340643803278,0.14720862979690236,0.27453203623493516
S1,POS,POS,6,moving,-0.30219120159745216,0.2731430847197771,0.5753342863172293
S1,POS,POS,7,portrait,-0.5099211148917675,0.46482607536017895,0.9747471902519464
S1,POS,POS,8,of,0.05830279737710953,-0.022084921598434448,-0.08038771897554398
S1,POS,POS,9,human,0.05830279737710953,-0.022084921598434448,-0.08038771897554398
S1,POS,POS,10,resilience,-0.34892742335796356,0.3973030745983124,0.7462304979562759
S2,NEG,NEG,0,this,0.41016958086765953,-0.38340993132442236,-0.7935795121920819
S2,NEG,NEG,1,movie,0.32758781026132056,-0.31035185186192393,-0.6379396621232445
S2,NEG,NEG,2,is,0.3010622178298945,-0.2815094687975943,-0.5825716866274888
S2,NEG,NEG,3,an,0.2030403419303184,-0.16985253731400007,-0.37289287924431846
S2,NEG,NEG,4,absolute,0.2030403419303184,-0.16985253731400007,-0.37289287924431846
S2,NEG,NEG,5,waste,1.8682378939150415,-1.600554320836333,-3.4687922147513746
S2,NEG,NEG,6,of,1.5334295303358279,-1.3127814764654129,-2.8462110068012407
S2,NEG,NEG,7,time,0.24775418026668677,-0.19768172188438865,-0.4454359021510754
S2,NEG,NEG,8,and,-1.2522407174110413,1.0828664302825928,2.335107147693634
S2,NEG,NEG,9,money,1.1823376938700676,-1.040508709847927,-2.2228464037179947
