sentence_id,text,gold_label,prediction,class_index,class_name,word_index,word,shap_value,absolute_shap_value,increases_target_logit
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,the,0.007047984749078751,0.007047984749078751,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,the,0.004015000537037849,0.004015000537037849,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,film,0.0410059429705143,0.0410059429705143,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,film,-0.026907486375421286,0.026907486375421286,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,is,-0.04450937733054161,0.04450937733054161,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,is,0.05079902848228812,0.05079902848228812,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,a,-0.08010681966940561,0.08010681966940561,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,a,0.10348764124015968,0.10348764124015968,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,beautiful,-1.0845524395505588,1.0845524395505588,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,beautiful,1.029356115187208,1.029356115187208,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,and,-0.12732340643803278,0.12732340643803278,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,and,0.14720862979690236,0.14720862979690236,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,moving,-0.30219120159745216,0.30219120159745216,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,moving,0.2731430847197771,0.2731430847197771,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,portrait,-0.5099211148917675,0.5099211148917675,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,portrait,0.46482607536017895,0.46482607536017895,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,of,0.05830279737710953,0.05830279737710953,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,of,-0.022084921598434448,0.022084921598434448,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,human,0.05830279737710953,0.05830279737710953,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,human,-0.022084921598434448,0.022084921598434448,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,resilience,-0.34892742335796356,0.34892742335796356,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,resilience,0.3973030745983124,0.3973030745983124,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,this,0.41016958086765953,0.41016958086765953,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,this,-0.38340993132442236,0.38340993132442236,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,movie,0.32758781026132056,0.32758781026132056,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,movie,-0.31035185186192393,0.31035185186192393,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,2,is,0.3010622178298945,0.3010622178298945,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,2,is,-0.2815094687975943,0.2815094687975943,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,3,an,0.2030403419303184,0.2030403419303184,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,3,an,-0.16985253731400007,0.16985253731400007,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,4,absolute,0.2030403419303184,0.2030403419303184,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,4,absolute,-0.16985253731400007,0.16985253731400007,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,5,waste,1.8682378939150415,1.8682378939150415,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,5,waste,-1.600554320836333,1.600554320836333,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,6,of,1.5334295303358279,1.5334295303358279,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,6,of,-1.3127814764654129,1.3127814764654129,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,7,time,0.24775418026668677,0.24775418026668677,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,7,time,-0.19768172188438865,0.19768172188438865,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,8,and,-1.2522407174110413,1.2522407174110413,0
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,8,and,1.0828664302825928,1.0828664302825928,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,9,money,1.1823376938700676,1.1823376938700676,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,9,money,-1.040508709847927,1.040508709847927,0
