sentence_id,gold_label,prediction,word_index,word,negative_shap_value,positive_shap_value,margin_shap_value
S1,POS,POS,0,the,0.07718943804502487,-0.06534631922841072,-0.1425357572734356
S1,POS,POS,1,film,-0.14993049576878548,0.17432271549478173,0.3242532112635672
S1,POS,POS,2,is,0.0833335779607296,-0.07705484563484788,-0.16038842359557748
S1,POS,POS,3,a,-0.04762941598892212,0.0592204537242651,0.10684986971318722
S1,POS,POS,4,beautiful,-1.1531733348965645,1.103686971589923,2.2568603064864874
S1,POS,POS,5,and,-0.09117991477251053,0.11714496091008186,0.2083248756825924
S1,POS,POS,6,moving,-0.31273144856095314,0.28537838347256184,0.598109832033515
S1,POS,POS,7,portrait,-0.526891153305769,0.4849544595927,1.011845612898469
S1,POS,POS,8,of,0.10575082153081894,-0.07151515781879425,-0.1772659793496132
S1,POS,POS,9,human,0.03836505860090256,-0.005018368363380432,-0.04338342696428299
S1,POS,POS,10,resilience,-0.38121603429317474,0.4374450296163559,0.8186610639095306
S2,NEG,NEG,0,this,0.4597555061991443,-0.4283453207463026,-0.8881008269454469
S2,NEG,NEG,1,movie,0.23464770141072222,-0.28728405106812716,-0.5219317524788494
S2,NEG,NEG,2,is,0.4271118425858731,-0.347913452424109,-0.7750252950099821
S2,NEG,NEG,3,an,-0.010015156851295615,0.0201100827762275,0.030125239627523115
S2,NEG,NEG,4,absolute,0.4160958407119324,-0.35981515740422765,-0.77591099811616
S2,NEG,NEG,5,waste,3.0587107059964183,-2.6350283391766425,-5.693739045173061
S2,NEG,NEG,6,of,0.4430508925997856,-0.36424483394876006,-0.8072957265485456
S2,NEG,NEG,7,time,0.14766000592135242,-0.11174434606073191,-0.25940435198208434
S2,NEG,NEG,8,and,-1.2522407174110413,1.0828664302825928,2.335107147693634
S2,NEG,NEG,9,money,1.2079254314303398,-1.0779846236109734,-2.285910055041313
S3,POS,POS,0,it,0.21292033605277538,-0.1686985855922103,-0.3816189216449857
S3,POS,POS,1,s,0.190623439848423,-0.15796894021332264,-0.34859238006174564
S3,POS,POS,2,a,0.02185922535136342,-0.020928240614011884,-0.042787465965375304
S3,POS,POS,3,bit,0.32968188589438796,-0.2914149696007371,-0.621096855495125
S3,POS,POS,4,slow,0.595614196616225,-0.44657248982305947,-1.0421866864392844
S3,POS,POS,5,at,0.035700394364539534,-0.016050969968394686,-0.051751364332934216
S3,POS,POS,6,times,0.0267341822036542,-0.04496116163985183,-0.07169534384350604
S3,POS,POS,7,but,-0.39377399906516075,0.3481621756218374,0.7419361746869981
S3,POS,POS,8,the,-0.16544274415355176,0.14720960560953245,0.3126523497630842
S3,POS,POS,9,performances,-0.7546001913724467,0.708043115620967,1.4626433069934137
S3,POS,POS,10,are,-0.08575843821745366,0.09155660535907373,0.1773150435765274
S3,POS,POS,11,outstanding,-1.9041462669847533,1.8437257226905786,3.747871989675332
S4,NEG,NEG,0,a,-0.17042775265872478,0.14521496137604117,0.31564271403476596
S4,NEG,NEG,1,dull,2.1185317132622004,-1.8939342782832682,-4.012465991545469
S4,NEG,NEG,2,tedious,1.3510318994522095,-1.219476267695427,-2.5705081671476364
S4,NEG,NEG,3,and,0.0372319221496582,-0.055364981293678284,-0.09259690344333649
S4,NEG,NEG,4,completely,0.5468648336827755,-0.49072636663913727,-1.0375912003219128
S4,NEG,NEG,5,forgettable,0.9381007291376591,-0.8812379091978073,-1.8193386383354664
S4,NEG,NEG,6,experience,-0.042420174926519394,0.024883229285478592,0.06730340421199799
S5,POS,POS,0,the,-0.013468250632286072,0.03669232130050659,0.050160571932792664
S5,POS,POS,1,direction,0.24861329793930054,-0.20329155609942973,-0.45190485403873026
S5,POS,POS,2,is,0.18127738684415817,-0.1262278889771551,-0.30750527582131326
S5,POS,POS,3,inspired,-0.9395616576075554,0.8901126328855753,1.8296742904931307
S5,POS,POS,4,and,-0.31627586483955383,0.31544913351535797,0.6317249983549118
S5,POS,POS,5,the,0.27303086314350367,-0.23255225317552686,-0.5055831163190305
S5,POS,POS,6,acting,-0.14216950070112944,0.06836865795776248,0.21053815865889192
S5,POS,POS,7,is,0.17914434894919395,-0.17367862490937114,-0.3528229738585651
S5,POS,POS,8,nothing,0.21702362410724163,-0.10354851512238383,-0.32057213922962546
S5,POS,POS,9,short,-0.0011495742946863174,0.022634562104940414,0.023784136399626732
S5,POS,POS,10,of,0.20819171331822872,-0.16614307090640068,-0.3743347842246294
S5,POS,POS,11,brilliant,-2.1035005412995815,1.9438394457101822,4.047339987009764
S6,POS,POS,0,a,-0.23772495239973068,0.2369639128446579,0.4746888652443886
S6,POS,POS,1,masterpiece,-0.8810219168663025,0.8454878255724907,1.7265097424387932
S6,POS,POS,2,of,-0.05267709493637085,0.048038549721241,0.10071564465761185
S6,POS,POS,3,storytelling,-0.4662371352314949,0.4717804938554764,0.9380176290869713
S6,POS,POS,4,with,-0.19784434884786606,0.20162451267242432,0.3994688615202904
S6,POS,POS,5,breathtaking,-0.95899748057127,0.8913120254874229,1.850309506058693
S6,POS,POS,6,visuals,-0.09368792921304703,0.09667258709669113,0.19036051630973816
S6,POS,POS,7,and,-0.94178706407547,0.8006477504968643,1.7424348145723343
S6,POS,POS,8,emotion,0.9633228406310081,-0.7615482211112976,-1.7248710617423058
S7,NEG,NEG,0,painfully,0.46921044401824474,-0.3947374615818262,-0.863947905600071
