sentence_id,text,gold_label,prediction,class_index,class_name,word_index,word,is_content,shap_value,absolute_shap_value,increases_target_score
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,0,The,1,0.003964744508266449,0.003964744508266449,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,0,The,1,0.004909049719572067,0.004909049719572067,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,1,film,1,0.030299481004476547,0.030299481004476547,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,1,film,1,0.0395125187933445,0.0395125187933445,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,2,is,1,0.02043933793902397,0.02043933793902397,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,2,is,1,0.020403292030096054,0.020403292030096054,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,3,a,1,0.0020448664824167886,0.0020448664824167886,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,3,a,1,0.004040531814098358,0.004040531814098358,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,4,beautiful,1,0.0020448664824167886,0.0020448664824167886,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,4,beautiful,1,0.004040531814098358,0.004040531814098358,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,5,and,1,0.004507000247637431,0.004507000247637431,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,5,and,1,0.006078436970710754,0.006078436970710754,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,6,moving,1,-0.004942763969302178,0.004942763969302178,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,6,moving,1,-0.0035939134657382967,0.0035939134657382967,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,7,portrait,1,-0.004942763969302178,0.004942763969302178,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,7,portrait,1,-0.0035939134657382967,0.0035939134657382967,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,8,of,1,-0.00352491723994414,0.00352491723994414,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,8,of,1,-0.0031396497040987012,0.0031396497040987012,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,9,human,1,-0.00352491723994414,0.00352491723994414,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,9,human,1,-0.0031396497040987012,0.0031396497040987012,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,10,resilience,1,-0.00621228019396464,0.00621228019396464,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,10,resilience,1,-0.005893341451883315,0.005893341451883315,0
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,0,NEG,11,.,0,0.0030757486820220947,0.0030757486820220947,1
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,POS,11,.,0,0.00347350537776947,0.00347350537776947,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,0,This,1,0.018192877992987633,0.018192877992987633,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,0,This,1,0.02192588336765766,0.02192588336765766,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,1,movie,1,0.047742633149027824,0.047742633149027824,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,1,movie,1,0.057270968332886696,0.057270968332886696,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,2,is,1,0.003150602802634239,0.003150602802634239,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,2,is,1,0.0007066447287797928,0.0007066447287797928,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,3,an,1,0.0028957922011613848,0.0028957922011613848,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,3,an,1,0.002217478305101395,0.002217478305101395,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,4,absolute,1,0.0028957922011613848,0.0028957922011613848,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,4,absolute,1,0.002217478305101395,0.002217478305101395,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,5,waste,1,0.0037314884364604947,0.0037314884364604947,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,5,waste,1,0.001533481478691101,0.001533481478691101,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,6,of,1,0.0037314884364604947,0.0037314884364604947,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,6,of,1,0.001533481478691101,0.001533481478691101,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,7,time,1,0.0037314884364604947,0.0037314884364604947,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,7,time,1,0.001533481478691101,0.001533481478691101,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,8,and,1,0.007732756435871124,0.007732756435871124,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,8,and,1,0.0072761401534080505,0.0072761401534080505,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,0,NEG,9,money,1,0.002211209386587143,0.002211209386587143,1
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,POS,9,money,1,0.0034097321331501007,0.0034097321331501007,1
