sentence_id,gold_label,prediction,word_index,word,feature_indices,is_content,negative_shap_value,positive_shap_value,margin_shap_value
S1,POS,POS,0,The,1,1,0.003964744508266449,0.004909049719572067,0.0009443052113056183
S1,POS,POS,1,film,2,1,0.030299481004476547,0.0395125187933445,0.00921303778886795
S1,POS,POS,2,is,3,1,0.02043933793902397,0.020403292030096054,-3.604590892791748e-05
S1,POS,POS,3,a,4,1,0.0020448664824167886,0.004040531814098358,0.0019956653316815696
S1,POS,POS,4,beautiful,5,1,0.0020448664824167886,0.004040531814098358,0.0019956653316815696
S1,POS,POS,5,and,6,1,0.004507000247637431,0.006078436970710754,0.0015714367230733233
S1,POS,POS,6,moving,7,1,-0.004942763969302178,-0.0035939134657382967,0.001348850503563881
S1,POS,POS,7,portrait,8,1,-0.004942763969302178,-0.0035939134657382967,0.001348850503563881
S1,POS,POS,8,of,9,1,-0.00352491723994414,-0.0031396497040987012,0.00038526753584543867
S1,POS,POS,9,human,10,1,-0.00352491723994414,-0.0031396497040987012,0.00038526753584543867
S1,POS,POS,10,resilience,11,1,-0.00621228019396464,-0.005893341451883315,0.0003189387420813247
S1,POS,POS,11,.,12,0,0.0030757486820220947,0.00347350537776947,0.0003977566957473755
S2,NEG,NEG,0,This,1,1,0.018192877992987633,0.02192588336765766,0.0037330053746700287
S2,NEG,NEG,1,movie,2,1,0.047742633149027824,0.057270968332886696,0.009528335183858871
S2,NEG,NEG,2,is,3,1,0.003150602802634239,0.0007066447287797928,-0.0024439580738544464
S2,NEG,NEG,3,an,4,1,0.0028957922011613848,0.002217478305101395,-0.0006783138960599899
S2,NEG,NEG,4,absolute,5,1,0.0028957922011613848,0.002217478305101395,-0.0006783138960599899
S2,NEG,NEG,5,waste,6,1,0.0037314884364604947,0.001533481478691101,-0.002198006957769394
S2,NEG,NEG,6,of,7,1,0.0037314884364604947,0.001533481478691101,-0.002198006957769394
S2,NEG,NEG,7,time,8,1,0.0037314884364604947,0.001533481478691101,-0.002198006957769394
S2,NEG,NEG,8,and,9,1,0.007732756435871124,0.0072761401534080505,-0.00045661628246307373
S2,NEG,NEG,9,money,10,1,0.002211209386587143,0.0034097321331501007,0.0011985227465629578
S2,NEG,NEG,10,.,11,0,0.004644941538572311,0.005802813917398453,0.0011578723788261414
