sentence_id,text,gold_label,prediction,correct,source,source_row_id,negative_score,positive_score,negative_softmax_share,positive_softmax_share,negative_base_value,positive_base_value,negative_sum_shap_values,positive_sum_shap_values,negative_reconstructed_score,positive_reconstructed_score,negative_additivity_residual,positive_additivity_residual,margin_positive_minus_negative,margin_base_value,margin_sum_shap_values,margin_reconstructed,margin_additivity_residual,feature_count,display_word_count,content_word_count,negative_mean_abs_word_shap,positive_mean_abs_word_shap,negative_total_abs_word_shap,positive_total_abs_word_shap,top_negative_increasing_word,top_negative_decreasing_word,top_positive_increasing_word,top_positive_decreasing_word,shap_model_text_evaluations,runtime_seconds_before_evaluation
S1,The film is a beautiful and moving portrait of human resilience.,POS,POS,1,qualitative_s1_s10,S1,0.9213079810142517,0.9338179230690002,0.4968725552729463,0.5031274447270536,0.8778582811355591,0.8706517219543457,0.04344969987869263,0.06316620111465454,0.9213079810142517,0.9338179230690002,0.0,0.0,0.012509942054748535,-0.007206559181213379,0.019716501235961914,0.012509942054748535,0.0,14,12,11,0.008730950144430002,0.009832864006360372,0.10477140173316002,0.11799436807632446,film (+0.0310),portrait (-0.0137),film (+0.0402),portrait (-0.0123),296,5.356531620025635
S2,This movie is an absolute waste of time and money.,NEG,NEG,1,qualitative_s1_s10,S2,0.9794285297393799,0.9771227836608887,0.5005764362642392,0.49942356373576074,0.8778582811355591,0.8706517219543457,0.1015702486038208,0.10647106170654297,0.9794285297393799,0.9771227836608887,0.0,0.0,-0.002305746078491211,-0.007206559181213379,0.004900813102722168,-0.002305746078491211,0.0,13,11,10,0.009322347458113323,0.010465980761430481,0.10254582203924656,0.11512578837573528,movie (+0.0500),time (-0.0003),movie (+0.0593),of (-0.0023),264,0.67185378074646
S3,It's a bit slow at times but the performances are outstanding.,POS,NEG,0,qualitative_s1_s10,S3,0.8975827097892761,0.8952063322067261,0.5005940941160583,0.4994059058839417,0.8778582811355591,0.8706517219543457,0.01972442865371704,0.02455461025238037,0.8975827097892761,0.8952063322067261,0.0,0.0,-0.002376377582550049,-0.007206559181213379,0.00483018159866333,-0.002376377582550049,0.0,15,12,11,0.00584142142906785,0.006164895991484324,0.0700970571488142,0.07397875189781189,but (+0.0155),slow (-0.0142),but (+0.0162),slow (-0.0154),360,1.0301775932312012
S4,"A dull, tedious and completely forgettable experience.",NEG,NEG,1,qualitative_s1_s10,S4,0.9156896471977234,0.9130213260650635,0.5006670798873677,0.4993329201126322,0.8778582811355591,0.8706517219543457,0.03783136606216431,0.04236960411071777,0.9156896471977234,0.9130213260650635,0.0,0.0,-0.002668321132659912,-0.007206559181213379,0.004538238048553467,-0.002668321132659912,0.0,13,9,7,0.007824931086765395,0.007783605613642269,0.07042437978088856,0.07005245052278042,forgettable (+0.0171),tedious (-0.0110),forgettable (+0.0188),tedious (-0.0094),264,0.6947336196899414
S5,The direction is inspired and the acting is nothing short of brilliant.,POS,POS,1,qualitative_s1_s10,S5,0.9320300817489624,0.9388437271118164,0.4982965952494368,0.5017034047505631,0.8778582811355591,0.8706517219543457,0.05417180061340332,0.0681920051574707,0.9320300817489624,0.9388437271118164,0.0,0.0,0.006813645362854004,-0.007206559181213379,0.014020204544067383,0.006813645362854004,0.0,15,13,12,0.00984465989928979,0.010693759585802372,0.1279805786907673,0.13901887461543083,The (+0.0260),direction (-0.0248),The (+0.0249),direction (-0.0240),376,1.048548698425293
S6,A masterpiece of storytelling with breathtaking visuals and emotion.,POS,POS,1,qualitative_s1_s10,S6,0.9193060398101807,0.9275663495063782,0.49793493431802405,0.5020650656819761,0.8778582811355591,0.8706517219543457,0.04144775867462158,0.05691462755203247,0.9193060398101807,0.9275663495063782,0.0,0.0,0.00826030969619751,-0.007206559181213379,0.015466868877410889,0.00826030969619751,0.0,12,10,9,0.009443372674286365,0.010464123077690601,0.09443372674286366,0.10464123077690601,masterpiece (+0.0201),visuals (-0.0102),masterpiece (+0.0238),breathtaking (-0.0086),200,0.48985838890075684
S7,Painfully boring and utterly devoid of any originality or charm.,NEG,NEG,1,qualitative_s1_s10,S7,0.9097020626068115,0.8978646397590637,0.5029593211558815,0.4970406788441184,0.8778582811355591,0.8706517219543457,0.03184378147125244,0.027212917804718018,0.9097020626068115,0.8978646397590637,0.0,0.0,-0.011837422847747803,-0.007206559181213379,-0.004630863666534424,-0.011837422847747803,0.0,16,11,10,0.007891043343327263,0.007231102071025155,0.08680147677659988,0.0795421227812767,Painfully (+0.0141),charm (-0.0189),and (+0.0111),charm (-0.0154),500,1.3435590267181396
S8,The screenplay is weak but the lead actor delivers a captivating turn.,POS,POS,1,qualitative_s1_s10,S8,0.9363107681274414,0.943487286567688,0.49820587809006633,0.5017941219099338,0.8778582811355591,0.8706517219543457,0.058452486991882324,0.07283556461334229,0.9363107681274414,0.943487286567688,0.0,0.0,0.007176518440246582,-0.007206559181213379,0.014383077621459961,0.007176518440246582,0.0,15,13,12,0.0070169292963468115,0.008193440448779326,0.09122008085250854,0.10651472583413124,but (+0.0211),turn (-0.0107),but (+0.0216),turn (-0.0111),376,1.0680210590362549
S9,A hollow and disappointing sequel that betrays everything the original stood for.,NEG,NEG,1,qualitative_s1_s10,S9,0.9551798701286316,0.949800968170166,0.5013447222474269,0.49865527775257307,0.8778582811355591,0.8706517219543457,0.07732158899307251,0.07914924621582031,0.9551798701286316,0.949800968170166,0.0,0.0,-0.005378901958465576,-0.007206559181213379,0.0018276572227478027,-0.005378901958465576,0.0,16,13,12,0.01208010559471754,0.012096547593290988,0.157041372731328,0.15725511871278286,sequel (+0.0577),hollow (-0.0201),sequel (+0.0619),hollow (-0.0189),456,1.281595230102539
S10,"Funny, heartfelt and endlessly entertaining from beginning to end.",POS,POS,1,qualitative_s1_s10,S10,0.9245321750640869,0.9336961507797241,0.49770902210379947,0.5022909778962005,0.8778582811355591,0.8706517219543457,0.04667389392852783,0.06304442882537842,0.9245321750640869,0.9336961507797241,0.0,0.0,0.009163975715637207,-0.007206559181213379,0.016370534896850586,0.009163975715637207,0.0,13,11,9,0.005733865567229011,0.006537586958570914,0.06307252123951912,0.07191345654428005,Funny (+0.0228),beginning (-0.0032),entertaining (+0.0245),beginning (-0.0011),328,0.8071849346160889
D01,"It's just disappointingly superficial—a movie that has all the elements necessary to be a fascinating, involving character study, but never does more than scratch the surface.",NEG,POS,0,sst2_dev_curated,59,0.907009482383728,0.9184352159500122,0.49714359768301636,0.5028564023169836,0.8778582811355591,0.8706517219543457,0.02915120124816894,0.04778349399566651,0.907009482383728,0.9184352159500122,0.0,0.0,0.01142573356628418,-0.007206559181213379,0.018632292747497555,0.011425733566284176,3.469446951953614e-18,37,31,27,0.005999101128446341,0.00616408932593561,0.18597213498183657,0.1910867691040039,movie (+0.0345),superficial (-0.0151),movie (+0.0433),superficial (-0.0167),500,3.060143232345581
D02,"It provides the grand, intelligent entertainment of a superior cast playing smart people amid a compelling plot.",POS,POS,1,sst2_dev_curated,129,0.9059800505638123,0.9115955829620361,0.4985961205896271,0.5014038794103729,0.8778582811355591,0.8706517219543457,0.028121769428253174,0.04094386100769043,0.9059800505638123,0.9115955829620361,0.0,0.0,0.005615532398223877,-0.007206559181213379,0.012822091579437256,0.005615532398223877,0.0,21,19,17,0.007002154659283788,0.006902715406919779,0.13304093852639198,0.1311515927314758,of (+0.0236),It (-0.0159),of (+0.0235),It (-0.0154),500,1.8419456481933594
D03,It's a bad thing when a movie has about as much substance as its end-credits blooper reel.,NEG,NEG,1,sst2_dev_curated,181,0.9490805864334106,0.9490246176719666,0.5000139921903574,0.49998600780964264,0.8778582811355591,0.8706517219543457,0.07122230529785156,0.07837289571762085,0.9490805864334106,0.9490246176719666,0.0,0.0,-5.59687614440918e-05,-0.007206559181213379,0.007150590419769287,-5.59687614440918e-05,0.0,24,18,17,0.010967124046550855,0.011429635083509816,0.1974082328379154,0.2057334315031767,movie (+0.0300),thing (-0.0213),movie (+0.0350),thing (-0.0198),500,1.9887714385986328
D04,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving, effective little film.",POS,POS,1,sst2_dev_curated,603,0.9070757627487183,0.9176526069641113,0.4973558135964528,0.5026441864035472,0.8778582811355591,0.8706517219543457,0.02921748161315918,0.047000885009765625,0.9070757627487183,0.9176526069641113,0.0,0.0,0.010576844215393066,-0.007206559181213379,0.017783403396606445,0.010576844215393066,0.0,24,17,15,0.0074588755766550685,0.008228134875204048,0.12680088480313617,0.1398782928784688,effective (+0.0226),Serry (-0.0154),writer-director (+0.0229),Serry (-0.0151),500,2.1315879821777344
D05,"The entire movie is about a boring, sad man being boring and sad.",NEG,NEG,1,sst2_dev_curated,212,0.9574512243270874,0.9514074325561523,0.5015109433434982,0.4984890566565018,0.8778582811355591,0.8706517219543457,0.07959294319152832,0.08075571060180664,0.9574512243270874,0.9514074325561523,0.0,0.0,-0.006043791770935059,-0.007206559181213379,0.0011627674102783203,-0.006043791770935059,0.0,17,15,13,0.01055549792945385,0.011650151511033376,0.15833246894180775,0.17475227266550064,movie (+0.0568),man (-0.0155),movie (+0.0648),man (-0.0168),408,1.2628741264343262
D06,"It proves quite compelling as an intense, brooding character study.",POS,POS,1,sst2_dev_curated,327,0.9321707487106323,0.9330955743789673,0.4997687935993956,0.5002312064006045,0.8778582811355591,0.8706517219543457,0.05431246757507324,0.06244385242462158,0.9321707487106323,0.9330955743789673,0.0,0.0,0.0009248256683349609,-0.007206559181213379,0.00813138484954834,0.0009248256683349609,0.0,15,12,10,0.010696902095029751,0.011204898823052645,0.12836282514035702,0.13445878587663174,compelling (+0.0234),brooding (-0.0205),compelling (+0.0257),brooding (-0.0238),360,1.0291249752044678
D07,"The film's hackneyed message is not helped by the thin characterizations, nonexistent plot, and pretentious visual style.",NEG,POS,0,sst2_dev_curated,429,0.9172846078872681,0.9283479452133179,0.49723419387906076,0.5027658061209392,0.8778582811355591,0.8706517219543457,0.039426326751708984,0.057696223258972154,0.9172846078872681,0.9283479452133179,0.0,0.0,0.011063337326049805,-0.007206559181213379,0.01826989650726318,0.011063337326049801,3.469446951953614e-18,29,20,17,0.005085420391211907,0.00537491756801804,0.10170840782423814,0.10749835136036079,film's (+0.0341),hackneyed (-0.0142),film's (+0.0429),hackneyed (-0.0125),500,2.4708364009857178
D08,"The film is powerful, accessible, and funny.",POS,POS,1,sst2_dev_curated,504,0.9549576640129089,0.9692357778549194,0.4964305321799494,0.5035694678200506,0.8778582811355591,0.8706517219543457,0.07709938287734985,0.09858405590057373,0.9549576640129089,0.9692357778549194,0.0,0.0,0.014278113842010498,-0.007206559181213379,0.021484673023223877,0.014278113842010498,0.0,12,10,7,0.010538682341575623,0.012539461255073547,0.10538682341575623,0.12539461255073547,film (+0.0346),accessible (-0.0112),film (+0.0453),accessible (-0.0112),232,0.59208083152771
D09,I got a headache watching this meaningless downer.,NEG,NEG,1,sst2_dev_curated,591,0.9085463285446167,0.8896609544754028,0.504721203197151,0.495278796802849,0.8778582811355591,0.8706517219543457,0.030688047409057617,0.01900923252105713,0.9085463285446167,0.8896609544754028,0.0,0.0,-0.018885374069213867,-0.007206559181213379,-0.011678814888000488,-0.018885374069213867,0.0,11,9,8,0.013159114867448807,0.015092321981986364,0.11843203380703926,0.13583089783787727,this (+0.0253),downer (-0.0137),got (+0.0263),downer (-0.0182),200,0.47049498558044434
D10,I had to look away; this was god-awful.,NEG,NEG,1,sst2_dev_curated,29,0.9183132648468018,0.9003024101257324,0.5045025919642749,0.49549740803572495,0.8778582811355591,0.8706517219543457,0.040454983711242676,0.02965068817138672,0.9183132648468018,0.9003024101257324,0.0,0.0,-0.018010854721069336,-0.007206559181213379,-0.010804295539855957,-0.018010854721069336,0.0,14,10,8,0.006915771029889583,0.00651005394756794,0.06915771029889584,0.0651005394756794,god-awful (+0.0131),away (-0.0079),this (+0.0119),away (-0.0102),264,0.7248408794403076
